,Subject,Condition,Explanation 00,Explanation 01,Explanation 02,Explanation 03,Explanation 04,Explanation 05,Explanation 06,Explanation 07,Explanation 08,Explanation 09,Explanation 10,Explanation 11,Explanation 12,Reasoning
0,1,1,5,1,1,2,2,7,7,1,1,2,2,5,5,"""""""Since Alex chose stage A I think he might have thought that the clown may be stage C and since the close sections may be partially visible""
"
1,1,2,2,1,2,1,2,7,1,1,1,2,1,7,7,"Since Matt dislikes clowns and is indifferent to magicians and acrobats therefore he might have thought that the clown would be performing on stage C and his indifference to magician and acrobat made him chose section between stage A and stage B.
"
2,1,3,2,5,3,1,2,5,3,5,5,1,5,5,5,"I think David might have thought that either stage A or stage C might be used by clown and since he is indifferent to magician and acrobat he might as well take up any other section where he could just avoid the clown. I have based my judgments on this.
"
3,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
4,2,1,7,1,1,1,1,1,1,1,1,1,1,1,1,"Matt didn't know where any of the performers located.
"
5,2,2,1,1,1,1,1,7,1,1,1,1,1,7,7,"David believes clown in stage C
"
6,2,3,7,1,1,1,1,1,1,1,1,1,1,1,1,"Jacob didn't know where any of the performers located.
"
7,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
8,3,1,6,1,5,4,1,7,2,1,1,4,4,7,1,"""""""If the clown was on Stage A""
"
9,3,2,6,4,4,4,4,7,1,4,4,2,4,7,7,"""""""Alex dislikes clowns and is indifferent toward acrobats and magicians. So the distance of acrobat and magician from the marked section won't explain the reason well enough for his choice. However""
"
10,3,3,7,5,5,1,4,5,4,5,5,4,1,5,5,"""""""David dislikes clowns and is indifferent toward acrobats and magicians. So the distance of acrobat and magician from the marked section won't be useful enough to explain the reason for his choice. However""
"
11,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
12,4,1,1,1,5,4,5,6,3,1,1,3,3,7,7,"Not too much to explain just thats what i would have done if i was Alex. I dislike clowns so id try to get that clown as far as possible from me
"
13,4,2,5,2,5,3,5,7,3,1,3,2,2,7,6,"Same logic as before but his choice seems weird. Maybe he is trying to turn his back to the clown
"
14,4,3,7,5,5,1,5,6,5,5,5,1,2,5,5,"""""""Either David is trying to face his fear""
"
15,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
16,5,1,6,1,5,4,1,7,1,1,1,4,4,6,6,"Alex would have tried to stay away from the clown in all cases.
"
17,5,2,7,1,6,1,2,6,2,1,1,1,1,5,5,"""""""Jacob would have tried to stay away from the clown in each case""
"
18,5,3,6,2,1,1,7,6,2,2,2,1,1,3,3,"Most of these didn't make sense because there's no scenario where choice B would put David far from the clown.
"
19,5,4,7,1,3,1,2,6,1,1,1,1,1,5,5,"Most of these didn't make sense because Matt would have avoided this spot if he thought the clown would be on stage A or B.
"
20,6,1,3,1,3,3,1,7,1,1,1,4,4,5,5,"""""""If Alex truly dislikes clowns""
"
21,6,2,4,1,1,1,3,6,1,1,1,1,1,3,3,"""""""Same as Alex. If Matt dislikes clowns and is indifferent towards the other performers""
"
22,6,3,3,2,1,1,6,2,1,2,2,1,1,2,2,"""""""He probably does not know where the clowns will be. If he knew the clowns were at A he would choose the rightmost section and vice versa. I cant see any logic""
"
23,6,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
24,7,1,2,1,5,4,4,7,1,1,1,4,4,7,7,"""""""Since Matt dislikes clowns and is indifferent toward acrobats and magicians""
"
25,7,2,4,3,4,2,4,7,2,4,3,3,3,7,7,"""""""Since Jacob dislikes clowns and is indifferent toward acrobats and magicians""
"
26,7,3,4,5,1,1,6,6,2,6,5,1,1,6,6,"""""""Since Alex dislikes clowns and is indifferent toward acrobats and magicians""
"
27,7,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
28,8,1,4,1,5,5,3,7,3,4,1,4,5,7,7,"""""""generally david should be as far away as possible from the clown""
"
29,8,2,4,2,2,2,2,6,2,2,2,2,2,6,6,"""""""alex should try not to sit close to the clown if he dislikes him""
"
30,8,3,4,6,2,1,4,6,2,6,6,1,1,6,6,"""""""matt does not like clowns so he should try to sit further away if possible. if he believed it would be at stage b""
"
31,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
32,9,1,7,1,4,1,4,7,1,1,1,1,1,7,7,"""""""""""""""I made my judgements based on the fact that Alex dislikes clowns and is indifferent towards acrobats and magicians. I figured he would try to be as far away from the clowns as possible and that it wouldn't make any different whether the magicians or acrobats were closer to him.""""""""""""""
"
33,9,2,7,1,4,1,4,7,4,1,1,1,1,7,7,"""""""""""""""I made my judgements based on the fact that Jacob dislikes clowns and is indifferent towards magicians and acrobats. I figured he would want to be as far away from clowns as possible and wouldn't care how close he was to the magicians and acrobats.""""""""""""""
"
34,9,3,7,7,4,1,4,7,4,7,7,1,1,7,7,"""""""""""""""I made my judgements based on the fact that David dislikes clowns and is indifferent towards magicians and acrobats. I figured he would try to be away from the clowns and would have the magicians and acrobats closer towards him.""""""""""""""
"
35,9,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"""""""""""""""""""""""""""""
"
36,10,1,3,5,5,5,4,4,5,5,5,4,6,4,4,"g
"
37,10,2,4,6,5,3,5,4,5,5,4,5,4,4,4,"rv
"
38,10,3,5,3,5,3,4,5,4,4,4,5,5,5,5,"v
"
39,10,4,3,4,5,3,4,4,6,5,5,4,5,5,4,"r
"
40,11,1,5,1,3,7,1,7,3,1,1,7,7,7,7,"""""""If alex thought that clown would be on B""
"
41,11,2,5,1,4,1,4,6,2,2,2,2,3,6,6,"Similar to last part but in addition Matt can enjoy two performances equally here if he believes clown is at A but in situations where Matt thinks clown is at B or C the decision by Matt does not make sense
"
42,11,3,3,3,2,1,6,3,2,3,3,1,1,3,3,"""""""David chose to sit in center which lets him enjoy one performance better but now he gets the same view for clown which he doesn't like and other performance""
"
43,11,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
44,12,1,5,1,4,4,2,6,2,1,1,3,4,5,6,"""""""""""""""Seems most likely that he thought the clown was on C and was trying to sit furthest away""
"
45,12,2,5,1,3,2,3,5,2,1,1,2,2,6,7,"""""""""""""""Seems like he thought the clown would be on A""
"
46,12,3,6,4,3,2,4,4,3,2,4,1,2,4,4,"""""""""""""""Seems like he thought the clown would be on A or C""
"
47,12,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"""""""""""""""""""""""""""""
"
48,13,1,1,1,5,3,3,7,3,1,1,5,5,7,7,"The best explanations are the one where he thinks the clown is at A since that would put him furthest from the clown which he dislikes.
"
49,13,2,1,1,5,3,3,7,1,1,1,3,3,7,7,"Jacob would want to see the magician and acrobat so in cases where the clown is believed to be at B or C this would not be a good reason for him to sit there. He would want the clown to be at A based on his seating choice.
"
50,13,3,1,5,1,1,5,5,5,3,5,1,1,5,5,"""""""David would not want the clown to be at B for any of his choices. In the case he would probably sit at B because he knows the acrobat or magician IS there""
"
51,13,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
52,14,1,2,1,6,4,6,7,2,1,1,2,3,7,6,"""""""Since he dislikes clowns""
"
53,14,2,2,1,6,1,6,7,1,2,1,1,1,6,7,"He chose to sit away from the clowns which means he thought A was for clowns. B and C could be acrobats and magicians. He sat in between them because he was indifferent.
"
54,14,3,7,5,3,1,5,5,4,4,4,1,1,4,4,"He dislikes clowns so he would try to sit the farthest away from it. But he's sitting equidistant from A and C so I feel that he doesn't know where the acts are.
"
55,14,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
56,15,1,1,1,4,2,4,7,1,1,4,4,2,7,7,"He would be as far from the clown as possible
"
57,15,2,1,1,4,3,5,7,2,1,1,2,3,7,7,"He would be as far as possible from the clown
"
58,15,3,1,4,4,1,4,4,4,4,4,1,1,4,4,"He would avoid the clown
"
59,15,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
60,16,1,3,1,5,3,3,7,2,1,1,2,2,5,3,"""""""David should want to sit as far away from the clown as he can""
"
61,16,2,6,3,4,2,3,6,2,1,2,2,2,6,6,"Jacob should want to be far from the clown.
"
62,16,3,5,4,2,1,5,3,2,5,4,1,1,5,4,"Alex should want to be far from the clown and is indifferent about whether he's close to either of the other performers.
"
63,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
64,17,1,4,1,7,4,2,7,1,1,1,4,4,7,7,"""""""It would make sense that having an aversion to clowns""
"
