,Subject,Condition,Explanation 00,Explanation 01,Explanation 02,Explanation 03,Explanation 04,Explanation 05,Explanation 06,Explanation 07,Explanation 08,Explanation 09,Explanation 10,Explanation 11,Explanation 12,Reasoning
0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,"i feel no strong feelings one way or snother
"
1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,"im like a neural planet there all good
"
2,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,"best spot in the house
"
3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"i feel that ba was th best
"
4,2,1,2,7,2,2,2,2,2,4,4,2,2,2,2,"Matt is  indifferent toward acrobats and magicians so he would just consider clowns and choose his seat accordingly.
"
5,2,2,6,4,1,5,2,2,2,1,2,2,3,1,1,"I think Alex was not sure about the stage with the clowns.
"
6,2,3,2,1,2,7,1,1,2,1,2,1,2,1,2,"Jacob is indifferent toward acrobats and magicians so I think he was sure that clowns would perform on stage B.
"
7,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
8,3,1,4,7,1,1,7,1,7,7,7,1,1,1,1,"David would want to sit in the area of proximity of his favorite performer.
"
9,3,2,7,5,2,5,4,1,7,5,5,5,5,1,1,"""""""Since Jacob doesn't know where the performers are playing at on stage""
"
10,3,3,5,1,7,7,1,1,6,1,1,7,7,1,1,"""""""Alex is sitting where he think his final performer will perform at""
"
11,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
12,4,1,3,7,1,3,4,1,7,7,7,3,3,1,1,"""""""I think since Matt likes clowns""
"
13,4,2,6,6,4,6,4,1,4,6,6,6,6,1,1,"It would make the most sense if the clown was on state A or B since David likes clowns and his seat is close to both stages
"
14,4,3,7,1,4,7,1,1,4,1,1,7,7,1,1,"""""""She likes clowns so her seat choice makes sense if she knew the clown was going to be on stage B""
"
15,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
16,5,1,2,7,2,2,3,1,5,7,6,3,2,1,1,"ya david like clowns so definetly the c then either a or b acrobats and magician.
"
17,5,2,2,6,2,5,2,2,6,6,2,6,6,2,2,"matt believed center of the a and c so between them.
"
18,5,3,2,2,6,6,2,2,6,2,2,6,5,3,2,"definitely the b is clown because the mark was exactly b. 
"
19,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"
"
20,6,1,3,1,5,4,3,1,6,3,1,5,4,5,5,"David would obviously want to avoid the clowns.
"
21,6,2,3,5,2,5,4,1,3,5,4,5,4,4,3,"Jacob would choose seats that would make him closer to the clown. It's possible that he guessed where the clown would be or knew.
"
